ID,Titulo,Contenido,Fecha Creación,Estatus,Categoría,Tags,todas las tarjetas,Amex,Y,Código Postal,Entre,Efectivo,Colonia,Esquina,Generos,Latitud,Longitud,Precio inferior,MasterCard,NumExt,NumInt,Horario,Sevicios,Estado,Calle,Telefono 1,Telefono 2,Precio Superior,Delegación,Visa,Sitio Web,Zoom,Subtítulo,Calificación,Imagen principal
255931,L'Ostería del Becco,"¿Dónde? Goldsmith 103, Polanco Reforma ¿Por qué ir? Dale un poco de glamour a tu fin en este sofisticado restaurante italiano de Polanco. La oferta gastronómica fusiona recetas italianas tradicionales con tendencias vanguardistas, la cava es surreal (cuenta con más de 3,500 botellas), y el ambiente, con su mezcla de diplomáticos, extranjeros, empresarios y jóvenes es de lo más cosmopolita Nuestra recomendación: la paglia e fieno al ragú danatra, una pasta hecha a mano con una especie de salsa boloñesa con carne de pato. Pese a su aspecto poco estético, es de lo mejor que tiene el restaurante. Facebook ",5/19/2017 10:00,publish,Restaurantes,"Valet parking, Internet Inalámbrico, Italiana, Estacionamiento cercano, Reservación requerida, Área para fumar, Servicio a domicilio, Terraza, Cena romántica, Facilidades para discapacitados, Cena después de las 23 horas,",1,1,Horacio,11550,Presidente Masaryk,1,Polanco,,"Italiana,",19.4326706,-99.20057,1000,1,103,,"lun-sáb 13:30-00 h, dom 13-18 h","Italiana,Área para fumar,Cena después de las 23 horas,Estacionamiento cercano,Facilidades para discapacitados,Internet Inalámbrico,Reservación requerida,Servicio a domicilio,Terraza,Valet parking,Cena romántica,",Ciudad de México,Goldsmith,5282 1059,5280 3099,1500,Miguel Hidalgo,1,,16,,,http://www.chilango.com.s3-website-us-east-1.amazonaws.com/img/2010/04/foto-osteria-fb.jpg
323462,Fonda 99.99,"Las porciones son chiquitas y la cola para entrar es larga, pero una vez que pruebas su sopa de lima ($42.99), todo cobra sentido. Sigue la ruta de la cochinita pibil: en taquitos (3 por $37.99), en panuchos (3 por $44.99) y en orden completa con frijoles ($54.99). O bien, date un festi?n de platos yucatecos como el taco queso relleno ($32.99) o el rico pavo en escabeche ($56.99). Segu?n el di?a, hay platillos especiales, pero por nada del mundo te vayas sin probar su horchata. Facebook Twitter: @fonda9999",6/23/2017 11:43,publish,Restaurantes,"Mexicana,",0,0,Calle Providencia,,Patricio Sanz,1,Del Valle,,"Mexicana,",19.3753651,-99.173473,100,0,347,,"mar-sáb 13-20 h, dom 13-18 h.","Mexicana,",Ciudad de México,Moras,5559 8762,,200,Benito Juárez,0,,16,Uno de los mejores representantes de la comida yucateca.,,http://.s3-website-us-east-1.amazonaws.com/img/2010/11/sazon-tradicional-yucateco.jpg
341014,Food Trade Center,FB: foodtcmx/,2/21/2017 10:27,publish,Restaurantes,"Sinópsis, Internacional,",1,,,3810,,1,Nápoles,Dakota,"Internacional,",19.3956172,-99.1741112,150,,57,,"lun-mié 13-22 h, jue-sáb 13-1 h","Internacional,",Distrito Federal,Maricopa,5087 9662,,350,Benito Juárez,,,16,,,http://img.chilango.com/2017/02/food-trade-center-lasagna-de-cavoli-5.jpg
341016,Pasillo de humo,FB: /pasillodehumo/,2/21/2017 10:08,publish,Restaurantes,"Sinópsis, Abierto en Domingo, Oaxaqueña,",1,,Vicente Suárez,6140,Michoacán,1,Condesa,,"Oaxaqueña,",19.4108943,-99.1726896,350,,107,,lun-dom 9-19 h,"Oaxaqueña,Abierto en Domingo,",Distrito Federal,Nuevo León,5211 7263,,500,Cuauhtémoc,,,16,,,http://img.chilango.com/2017/02/pasillo-de-humo-3.jpg
341018,Pixza Roma,,2/19/2017 23:19,publish,Restaurantes,"Sinópsis, Abierto en Domingo, Fusión,",1,,Antonio M. Anza,6700,Coahuila,1,Roma Norte,,"Fusión,",19.412147,-99.1569535,100,,234,,mar-jue 13-21 h y vie-sáb 14-22 h y dom 14-20 h,"Fusión,Abierto en Domingo,",Distrito Federal,Córdoba,2121 0973,,150,Cuauhtémoc,,,16,,,http://img.chilango.com/2017/02/pizza-de-flor-de-jjamaica-y-flor-de-calabaza-con-huitlacoche-3.jpg
341020,Pollos Mario,"En lo que te traen el plato fuerte dale a los roscones o al brazo de reina ($12). Prueba la lechona Mario ($110) con el sabor de Colombia. El sancocho de pescado o gallina ($120) una sopa con verduras y la carne o la bandeja paisa ($120) para una muestra mayor. Si no traes mucha hambre, pide media racio?n de lechona y bandeja ($80 y $90) o, por curiosidad, completa con media orden de pollo Mario ($55). Aventu?rate con el agua de panela ($25) o la jarra con leche de mora, curuba fruta tropicalo maracuya? ($70).",6/27/2017 12:12,publish,Restaurantes,"Internacional,",0,0,,6700,,1,Roma Norte,Tapachula,"Internacional,",19.4115278,-99.1645214,100,1,197,,lun-dom 9-19:30 h,"Internacional,",Ciudad de México,Medellín,4171 9346,,150,Cuauhtémoc,1,,16,El sabor de Colombia en diferentes platillos.,,http://img.chilango.com/2017/02/foto-de-stock-de-shutterstock-3.jpg
341022,Las Nazarenas,,2/15/2017 9:43,publish,Restaurantes,"Sinópsis, Pescados y mariscos,",,,,6760,,1,Roma Sur,Chilpancingo,"Pescados y mariscos,",19.4038047,-99.1685557,0,,254,,mie-lun 13-17 h,"Pescados y mariscos,",Distrito Federal,Tehuantepec,1596 4630,,0,Cuauhtémoc,,,16,,,http://img.chilango.com/2017/02/las-nazarenas-3.jpg
341026,Le Caméleón,,2/14/2017 12:55,publish,Restaurantes,"Sinópsis,",1,,Bolívar,6800,Isabel la Católica,1,Obrera,,,19.4139869,-99.1397767,100,,87,,lun-vie 9-17 h,,Distrito Federal,Manuel Payno,5578 0141,,300,Cuauhtémoc,,,16,,,http://img.chilango.com/2017/02/le-cameleon-2.jpg
341030,Bowie,"[gallery td_select_gallery_slide=""slide"" columns=""5"" ids=""341032,341033,341034"" orderby=""rand""]Por: Sasha Gamboa El nombre que los dueños eligieron para su restaurante no sólo hace honor a David Bowie, también a una pequeña localidad texana llamada así, donde inventaron un cuchillo de pelea muy parecido al que ellos utilizan para partir la carne y se llama bowie knife. La especialidad es la cocina de humo que se consigue gracias a un horno rústico que se utiliza desde los tiempos de los mayas y que lleva el nombre de pib. Dentro, los ingredientes se exponen a distintos métodos de cocción. El carpaccio de betabel, por ejemplo, pasa directamente del agua a la leña con carbón de mezquite para que tome el sabor ahumado, asimismo se acompaña con zanahorias rostizadas e incineradas. Y para que puedas   percibir la preparación, el platillo llega en una caja con tapa transparente para encapsular el humo, un ingrediente más en vegetales, pescados, cortes de carne, aves y hasta en la ginebra. Uno de los gins con humo es el de toronja con Campari que mezclan directamente en la mesa y que al beberse huele y sabe a   romerito quemado. El lugar tiene música tipo lounge. La carta es corta, pero la oferta es variada. Si tienes antojo de mariscos pide el pulpo torero con chorizo y chicharrón, pero si comes carne debes probar el Short Rib en puré de calabaza con salsa de whisky. Por cierto, el lugar tiene una carta de whiskys artesanales que maridan bien con el sabor ahumado de los platos. @bowie_mx (NOTA: El restaurante abrió en un principio en Santa Catarina 207, San Ángel)",2/10/2017 11:15,publish,Restaurantes,"critica, Internacional, Valet parking, Internet Inalámbrico,",1,,Chihuahua,6700,Álvaro Obregón,1,Roma Norte,,"Internacional,",19.4180895,-99.1584495,400,,113,,"lun-mie 13:30-00 h, jue-sab 13:30-1 h, dom 13:30-21 h","Internacional,Valet parking,Internet Inalámbrico,",Distrito Federal,Córdoba,5264 2622,,600,Cuauhtémoc,,http://www.bowie.com.mx/,16,,Atención:3 - Calidad:3 - Ambiente:3 -,http://img.chilango.com/2017/02/bowie-2-6.jpg
341036,Koku,"Koku inició a velocidad de campeonato. Y es que cuando encuentras en la cocina a un chef como Takeya Matsumoto, sabes que aterrizaste en el lugar correcto. Al ser primo hermano de Kura, este nuevo local en la Cuauhtémoc tiene en la genética esa sazón japonesa que conquistó la escena gastronómica de la Roma. En el menú encuentras elementos clásicos de la cocina del país de Oriente sin dejar a un lado el toque mexicano. En esta combinación de culturas nos topamos con creaciones como el bluefin tuna and avocado, un ceviche de atún con aguacate y brotes de ajonjolí. El chef orgullosamente presume el Ebi Yakimeshi, un arroz con calabaza, una pizca de jengibre, camarones empanizados y salsa de ostión. Aunque es un platillo dulce, aventúrate con unas gotas de soya, lo agradecerás. Los postres esperan pacientes a que te acerques a la recta final y un tiramisú de matcha camina a paso lento para llegar a tu mesa. Para gustos fríos, prueba uno de los helados poco convencionales: lychee, ajonjolí negro, frijol rojo y té verde. La visita entre semana te asegura un lugar en la terraza trasera, pero el fin está repleto de familias curiosas por conocer el  concepto de la zona. Para un momento de introspección personal, toma asiento en la barra y déjate consentir por la vista de cocina abierta. Este nuevo spot oriental puede presumir de un disen?o basado en madera, con una amplia barra desde donde podra?s ver las preparaciones de cocina fri?a y caliente. Dentro de sus especialidades esta?n algunos cocteles con sake, pero tambie?n muchas opciones a buenos precios como su taco moo moo de costilla de res ($55), gyozas de carne ($70), cono de ro?balo ($50) o un abundante yakiniku don bowl de arroz con carne de lomo de cerdo empanizado ($110). Sera? el favorito de la zona, lo sabemos. Facebook ",6/26/2017 9:35,publish,Restaurantes,"critica, Japonesa,",1,0,Río Sena,6500,Río Tigris,1,Cuauhtémoc,,"Japonesa,",19.4298193,-99.1661106,350,0,94,,lun-dom 11:30-00 h,"Japonesa,",Distrito Federal,Río Lerma,5207 3344,,450,Cuauhtémoc,0,,16,Nuevo spot en la Roma de comida japonesa.,Atención:4 - Calidad:4 - Ambiente:4 -,http://img.chilango.com/2017/02/koku-3.jpg
