"title","type","schedule","minPrice","maxPrice","cash","cards","mCard","amex","visa","state","del","quarter","zip.code","street","corner","inBetween","numExt","numInt","lat","lon","tel","web","score","cluster"
"lostería becco","italiana","lun-sáb 13:30-00 h, dom 13-18 h",1000,1500,1,1,1,1,1,"Ciudad de México","Miguel Hidalgo","polanco",11550,"goldsmith","","presidente masaryk","103","",19.4326706,-99.20057,"5282 1059","","","3"
"fonda ","mexicana","mar-sáb 13-20 h, dom 13-18 h.",100,200,1,0,0,0,0,"Ciudad de México","Benito Juárez"," valle",-1,"moras","","patricio sanz","347","",19.3753651,-99.173473,"5559 8762","","","2"
"food trade center","internacional","lun-mié 13-22 h, jue-sáb 13-1 h",150,350,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez","nápoles",3810,"maricopa","dakota","","57","",19.3956172,-99.1741112,"5087 9662","","","2"
"pasillo humo","oaxaqueña","lun-dom 9-19 h",350,500,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"nuevo león","","michoacán","107","",19.4108943,-99.1726896,"5211 7263","","","2"
"pixza roma","fusión","mar-jue 13-21 h y vie-sáb 14-22 h y dom 14-20 h",100,150,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"córdoba","","coahuila","234","",19.412147,-99.1569535,"2121 0973","","","2"
"pollos mario","internacional","lun-dom 9-19:30 h",100,150,1,0,1,0,1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"medellín","tapachula","","197","",19.4115278,-99.1645214,"4171 9346","","","2"
" nazarenas","pescados mariscos","mie-lun 13-17 h",0,0,1,-1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma sur",6760,"tehuantepec","chilpancingo","","254","",19.4038047,-99.1685557,"1596 4630","","","2"
" caméleón","","lun-vie 9-17 h",100,300,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","obrera",6800,"manuel payno","","isabel católica","87","",19.4139869,-99.1397767,"5578 0141","","","2"
"bowie","internacional","lun-mie 13:30-00 h, jue-sab 13:30-1 h, dom 13:30-21 h",400,600,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"córdoba","","álvaro obregón","113","",19.4180895,-99.1584495,"5264 2622","http://www.bowie.com.mx/","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"koku","japonesa","lun-dom 11:30-00 h",350,450,1,1,0,0,0,"Ciudad de México","Cuauhtémoc","cuauhtémoc",6500,"río lerma","","río tigris","94","",19.4298193,-99.1661106,"5207 3344","","Atención:4 - Calidad:4 - Ambiente:4 -","1"
"chaen","japonesa","lun-sáb 11-20 h",200,350,0,0,0,0,0,"Ciudad de México","Benito Juárez","nápoles",3810,"prolongación eugenia","","nebraska","23","",19.3892287,-99.1754646,"5536 8481","","","5"
"tokyo","japonesa","lun-dom 11-23 h",200,400,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","juárez",6600,"hamburgo","","amberes","134","",19.4260017,-99.1652613,"5525 3775","","","2"
